SACC code(d),Country of birth(d),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
9214,Mauritius,490,810,1 130,2 360,2 680,430,-30,280,360,360,480,540,530,330,450,400,-240,450,730,630,360
9215,Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
9216,Mozambique,20,50,10,30,50,10,30,40,30,10,30,10,20,20,30,10,-20,0,50,40,30
9217,Namibia,70,80,60,100,100,40,70,70,70,10,20,60,50,40,70,80,10,50,140,90,60
9218,Reunion,10,20,10,20,20,0,0,20,10,0,10,20,30,-10,10,10,-10,10,10,10,10
9221,Rwanda,40,70,100,60,80,140,90,80,60,70,60,60,50,40,100,50,10,40,50,230,140
9222,St Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9223,Seychelles,90,60,60,50,20,0,30,30,10,10,10,0,20,-10,10,-10,0,10,10,10,0
9224,Somalia,330,340,430,280,430,600,450,470,470,570,470,560,240,140,100,-30,-10,110,170,310,200
9225,South Africa,5 500,7 530,8 450,11 080,12 870,5 820,6 280,6 950,5 520,3 710,3 460,4 080,5 580,4 680,5 990,6 380,2 560,4 980,9 170,10 130,6 590
9226,Eswatini,10,10,10,20,20,10,10,20,10,-10,0,-10,0,20,10,0,0,0,10,10,10
9227,Tanzania,210,420,390,320,230,140,130,120,100,70,90,50,120,60,250,170,-10,50,120,150,90
9228,Uganda,190,170,320,170,160,180,190,120,140,140,180,170,150,200,160,210,20,170,250,380,260
9231,Zambia,210,250,360,420,260,210,180,220,210,100,40,70,110,90,80,170,20,230,430,570,400
9232,Zimbabwe,2 150,2 350,2 530,3 240,2 800,1 300,980,1 380,1 180,940,870,1 090,1 150,860,1 130,1 100,200,1 100,2 710,2 960,2 580
9299,S & E Afr, nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000,Inadequately Described,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
,Total Australian-born,-18 680,-14 740,-12 790,-15 220,-2 280,-3 620,-8 130,-7 980,-9 840,-19 390,-23 000,-21 370,-15 800,-15 490,-12 360,18 060,7 470,-13 440,-26 160,-21 150,-17 060
,Total overseas-born,161 260,186 580,245 580,292 560,302 140,199 680,188 510,239 920,240 170,207 170,207 040,227 600,279 150,253 720,253 690,174 630,-92 400,221 350,564 500,450 310,322 630
,,,,,,,,,,,,,,,,,,,,,,
,Total,142 580,171 840,232 800,277 340,299 870,196 060,180 370,231 950,230 330,187 780,184 030,206 230,263 350,238 220,241 340,192 700,-84 940,207 910,538 340,429 160,305 570
,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2025,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
